#separator:tab
#html:false
#deck:A1 Animals & Nature
animal-hund	der Hund	Dog	Animals & Nature	a1 animals
animal-katze	die Katze	Cat	Animals & Nature	a1 animals
animal-vogel	der Vogel	Bird	Animals & Nature	a1 animals
animal-fisch	der Fisch	Fish	Animals & Nature	a1 animals
animal-pferd	das Pferd	Horse	Animals & Nature	a1 animals
animal-schwein	das Schwein	Pig	Animals & Nature	a1 animals
animal-schaf	das Schaf	Sheep	Animals & Nature	a1 animals
animal-kuh	die Kuh	Cow	Animals & Nature	a1 animals
animal-ente	die Ente	Duck	Animals & Nature	a1 animals
animal-huhn	das Huhn	Chicken	Animals & Nature	a1 animals
animal-affe	der Affe	Monkey	Animals & Nature	a1 animals
animal-loewe	der Löwe	Lion	Animals & Nature	a1 animals
animal-tiger	der Tiger	Tiger	Animals & Nature	a1 animals
animal-elefant	der Elefant	Elephant	Animals & Nature	a1 animals
animal-bär	der Bär	Bear	Animals & Nature	a1 animals
animal-fuchs	der Fuchs	Fox	Animals & Nature	a1 animals
animal-hase	der Hase	Hare	Animals & Nature	a1 animals
animal-kaninchen	das Kaninchen	Rabbit	Animals & Nature	a1 animals
animal-igel	der Igel	Hedgehog	Animals & Nature	a1 animals
animal-eichhoernchen	das Eichhörnchen	Squirrel	Animals & Nature	a1 animals
animal-schmetterling	der Schmetterling	Butterfly	Animals & Nature	a1 animals
animal-biene	die Biene	Bee	Animals & Nature	a1 animals
animal-ameise	die Ameise	Ant	Animals & Nature	a1 animals
animal-spinne	die Spinne	Spider	Animals & Nature	a1 animals
nature-baum	der Baum	Tree	Animals & Nature	a1 animals
nature-blume	die Blume	Flower	Animals & Nature	a1 animals
nature-pflanze	die Pflanze	Plant	Animals & Nature	a1 animals
nature-gras	das Gras	Grass	Animals & Nature	a1 animals
nature-wald	der Wald	Forest	Animals & Nature	a1 animals
nature-berg	der Berg	Mountain	Animals & Nature	a1 animals
nature-fluss	der Fluss	River	Animals & Nature	a1 animals
nature-see	der See	Lake	Animals & Nature	a1 animals
nature-meer	das Meer	Sea	Animals & Nature	a1 animals
nature-meer2	die See	Sea (poetic)	Animals & Nature	a1 animals
nature-strand	der Strand	Beach	Animals & Nature	a1 animals
nature-insel	die Insel	Island	Animals & Nature	a1 animals
nature-himmel	der Himmel	Sky	Animals & Nature	a1 animals
nature-wolke	die Wolke	Cloud	Animals & Nature	a1 animals
nature-regen	der Regen	Rain	Animals & Nature	a1 animals
nature-schnee	der Schnee	Snow	Animals & Nature	a1 animals
nature-sonne	die Sonne	Sun	Animals & Nature	a1 animals
nature-mond	der Mond	Moon	Animals & Nature	a1 animals
nature-stern	der Stern	Star	Animals & Nature	a1 animals
nature-tier	das Tier	Animal	Animals & Nature	a1 animals
animal-zoo	der Zoo	Zoo	Animals & Nature	a1 animals
animal-tierarzt	der Tierarzt	Veterinarian	Animals & Nature	a1 animals
