#separator:tab
#html:false
#deck:A1 Family & Relationships
family-familie	die Familie	Family	Family & Relationships	a1 family
family-mutter	die Mutter	Mother	Family & Relationships	a1 family
family-vater	der Vater	Father	Family & Relationships	a1 family
family-eltern	die Eltern	Parents	Family & Relationships	a1 family
family-bruder	der Bruder	Brother	Family & Relationships	a1 family
family-schwester	die Schwester	Sister	Family & Relationships	a1 family
family-ssohn	der Sohn	Son	Family & Relationships	a1 family
family-tochter	die Tochter	Daughter	Family & Relationships	a1 family
family-grossmutter	die Großmutter	Grandmother	Family & Relationships	a1 family
family-grossvater	der Großvater	Grandfather	Family & Relationships	a1 family
family-onkel	der Onkel	Uncle	Family & Relationships	a1 family
family-tante	die Tante	Aunt	Family & Relationships	a1 family
family-cousin	der Cousin	Male cousin	Family & Relationships	a1 family
family-cousine	die Cousine	Female cousin	Family & Relationships	a1 family
family-neffe	der Neffe	Nephew	Family & Relationships	a1 family
family-nichte	die Nichte	Niece	Family & Relationships	a1 family
family-enkel	der Enkel	Grandson	Family & Relationships	a1 family
family-freund	der Freund	Boyfriend/Male friend	Family & Relationships	a1 family
family-freundin	die Freundin	Girlfriend/Female friend	Family & Relationships	a1 family
family-partner	der Partner	Partner	Family & Relationships	a1 family
family-ehefrau	die Ehefrau	Wife	Family & Relationships	a1 family
family-ehemann	der Ehemann	Husband	Family & Relationships	a1 family
family-verheiratet	verheiratet	Married	Family & Relationships	a1 family
family-ledig	ledig	Single	Family & Relationships	a1 family
family-geschieden	geschieden	Divorced	Family & Relationships	a1 family
family-witwe	die Witwe	Widow	Family & Relationships	a1 family
family-witwer	der Witwer	Widower	Family & Relationships	a1 family
family-verlobt	verlobt	Engaged	Family & Relationships	a1 family
family-ich-heirate	Ich heirate.	I am getting married.	Family & Relationships	a1 family
family-kennenlernen	Ich habe ihn gestern kennengelernt.	I met him yesterday.	Family & Relationships	a1 family
family-geburtstag	der Geburtstag	Birthday	Family & Relationships	a1 family
family-geschwister	die Geschwister	Siblings	Family & Relationships	a1 family
family-kind	das Kind	Child	Family & Relationships	a1 family
family-baby	das Baby	Baby	Family & Relationships	a1 family
family-teenager	der Teenager	Teenager	Family & Relationships	a1 family
family-erwachsen	Erwachsen	Adult	Family & Relationships	a1 family
family-paar	das Paar	Couple	Family & Relationships	a1 family
family-hund	der Hund	Dog	Family & Relationships	a1 family
family-katze	die Katze	Cat	Family & Relationships	a1 family
