#separator:tab
#html:false
#deck:A1 School & Education
school-schule	die Schule	School	School & Education	a1 school
school-lehre	die Lehre	Apprenticeship	School & Education	a1 school
school-universität	die Universität	University	School & Education	a1 school
school-kurs	der Kurs	Course	School & Education	a1 school
school-unterricht	der Unterricht	Class/Lesson	School & Education	a1 school
school-lehrer	der Lehrer	Teacher (m)	School & Education	a1 school
school-lehrerin	die Lehrerin	Teacher (f)	School & Education	a1 school
school-schüler	der Schüler	Student/Pupil (m)	School & Education	a1 school
school-schülerin	die Schülerin	Student/Pupil (f)	School & Education	a1 school
school-student	der Student	Student (university, m)	School & Education	a1 school
school-studentin	die Studentin	Student (university, f)	School & Education	a1 school
school-buch	das Buch	Book	School & Education	a1 school
school-heft	das Heft	Exercise book/Notebook	School & Education	a1 school
school-stift	der Stift	Pen/Pencil	School & Education	a1 school
school-kugelschreiber	der Kugelschreiber	Ballpoint pen	School & Education	a1 school
school-bleistift	der Bleistift	Pencil	School & Education	a1 school
school-lineal	das Lineal	Ruler	School & Education	a1 school
school-radiergummi	der Radiergummi	Eraser	School & Education	a1 school
school-mappe	die Mappe	Folder	School & Education	a1 school
school-tasche	die Tasche	Bag	School & Education	a1 school
school-ranzen	der Ranzen	School bag/Backpack	School & Education	a1 school
school-tisch	der Tisch	Desk/Table	School & Education	a1 school
school-stuhl	der Stuhl	Chair	School & Education	a1 school
school-tafel	die Tafel	Blackboard	School & Education	a1 school
school-kreide	die Kreide	Chalk	School & Education	a1 school
school-computer	der Computer	Computer	School & Education	a1 school
school-note	die Note	Grade/Mark	School & Education	a1 school
school-prüfung	die Prüfung	Exam	School & Education	a1 school
school-test	der Test	Test/Quiz	School & Education	a1 school
school-hausaufgabe	die Hausaufgabe	Homework	School & Education	a1 school
school-lernen	Ich lerne Deutsch.	I am learning German.	School & Education	a1 school
school-lehren	Ich lehre Mathematik.	I teach mathematics.	School & Education	a1 school
school-fragen	Ich habe eine Frage.	I have a question.	School & Education	a1 school
school-antworten	Ich antworte gern.	I like to answer.	School & Education	a1 school
school-verstehen	Ich verstehe die Aufgabe.	I understand the task.	School & Education	a1 school
school-wissen	Ich weiß die Antwort.	I know the answer.	School & Education	a1 school
school-schreiben	Ich schreibe eine Prüfung.	I am writing an exam.	School & Education	a1 school
school-lesen	Ich lese ein Buch.	I read a book.	School & Education	a1 school
school-zeitung	die Zeitung	Newspaper	School & Education	a1 school
school-bibliothek	die Bibliothek	Library	School & Education	a1 school
school-klassenzimmer	das Klassenzimmer	Classroom	School & Education	a1 school
school-pause	die Pause	Break	School & Education	a1 school
school-stundenplan	der Stundenplan	Schedule/Timetable	School & Education	a1 school
