#separator:tab
#html:false
#deck:A2 Prepositions with Cases
front	back	extra	tags	notetype
Ich gehe {{c1::mit::with (dative)}} meinem Bruder ins Kino.	I am going to the cinema with my brother.	'mit' always takes the Dative case. (der Bruder -> dem Bruder)	a2 grammar prepositions	Cloze
Wir fahren {{c1::durch::through (accusative)}} den Wald.	We are driving through the forest.	'durch' always takes the Accusative case. (der Wald -> den Wald)	a2 grammar prepositions	Cloze
Das Geschenk ist {{c1::für::for (accusative)}} dich.	The gift is for you.	'für' always takes the Accusative case.	a2 grammar prepositions	Cloze
Er kommt {{c1::aus::from (dative)}} der Schweiz.	He comes from Switzerland.	'aus' always takes the Dative case.	a2 grammar prepositions	Cloze
Das Bild hängt {{c1::an::on (two-way)}} der Wand.	The picture is hanging on the wall.	'an' is a two-way preposition. Here it answers 'where?' (Wo?), so it takes Dative.	a2 grammar prepositions	Cloze
Ich hänge das Bild {{c1::an::on (two-way)}} die Wand.	I hang the picture on the wall.	'an' is a two-way preposition. Here it answers 'where to?' (Wohin?), so it takes Accusative.	a2 grammar prepositions	Cloze
Wir sprechen {{c1::über::about (accusative)}} das Wetter.	We are talking about the weather.	'über' takes Accusative when it means 'about'.	a2 grammar prepositions	Cloze
Sie wohnt {{c1::bei::at/with (dative)}} ihren Eltern.	She lives with her parents.	'bei' always takes the Dative case.	a2 grammar prepositions	Cloze
Ich warte {{c1::seit::since/for (dative)}} einer Stunde.	I have been waiting for an hour.	'seit' always takes the Dative case.	a2 grammar prepositions	Cloze
Wir gehen {{c1::ohne::without (accusative)}} ihn.	We are going without him.	'ohne' always takes the Accusative case.	a2 grammar prepositions	Cloze
Die Katze liegt {{c1::unter::under (two-way)}} dem Tisch.	The cat is lying under the table.	'unter' is a two-way preposition. Here it answers 'where?' (Wo?), so it takes Dative.	a2 grammar prepositions	Cloze
Das Buch liegt {{c1::auf::on (two-way)}} dem Schreibtisch.	The book is lying on the desk.	'auf' is a two-way preposition. Here it answers 'where?', so it takes Dative.	a2 grammar prepositions	Cloze
Er legt das Buch {{c1::auf::onto (two-way)}} den Schreibtisch.	He puts the book onto the desk.	'auf' is a two-way preposition. Here it answers 'where to?', so it takes Accusative.	a2 grammar prepositions	Cloze
Das Auto steht {{c1::vor::in front of (two-way)}} dem Haus.	The car is parked in front of the house.	'vor' is a two-way preposition. Here it answers 'where?', so it takes Dative.	a2 grammar prepositions	Cloze
Wir laufen {{c1::um::around (accusative)}} den See.	We are walking around the lake.	'um' always takes the Accusative case.	a2 grammar prepositions	Cloze
