#separator:tab
#html:false
#deck:A2 Work & Office
front	back	extra	tags	notetype
der Beruf	job/profession	der Beruf, die Berufe	work a2	A2 Work	Basic
die Karriere	career	die Karriere, die Karrieren	work a2	A2 Work	Reverse
die Erfahrung	experience	die Erfahrung, die Erfahrungen	work a2	A2 Work	Basic
die Fähigkeit	skill/ability	die Fähigkeit, die Fähigkeiten	work a2	A2 Work	Reverse
die Qualifikation	qualification	die Qualifikation, die Qualifikationen	work a2	A2 Work	Basic
die Ausbildung	apprenticeship/training	die Ausbildung, die Ausbildungen	work a2	A2 Work	Reverse
die Weiterbildung	continuing education	die Weiterbildung, die Weiterbildungen	work a2	A2 Work	Basic
die Schulung	training	die Schulung, die Schulungen	work a2	A2 Work	Reverse
die Bewerbung	application	die Bewerbung, die Bewerbungen	work a2	A2 Work	Basic
der Lebenslauf	CV/resume	der Lebenslauf, die Lebensläufe	work a2	A2 Work	Reverse
das Anschreiben	cover letter	das Anschreiben, die Anschreiben	work a2	A2 Work	Basic
das Vorstellungsgespräch	interview	das Vorstellungsgespräch, die Vorstellungsgespräche	work a2	A2 Work	Reverse
die Einstellung	hiring	die Einstellung, die Einstellungen	work a2	A2 Work	Basic
die Probezeit	probation period	die Probezeit, die Probezeiten	work a2	A2 Work	Reverse
die Kündigung	termination	die Kündigung, die Kündigungen	work a2	A2 Work	Basic
die Kündigungsfrist	notice period	die Kündigungsfrist, die Kündigungsfristen	work a2	A2 Work	Reverse
die Abfindung	severance pay	die Abfindung, die Abfindungen	work a2	A2 Work	Basic
das Arbeitszeugnis	employment reference	das Arbeitszeugnis, die Arbeitszeugnisse	work a2	A2 Work	Reverse
die Arbeitszeit	working hours	die Arbeitszeit, die Arbeitszeiten	work a2	A2 Work	Basic
die Gleitzeit	flexible hours	die Gleitzeit, die Gleitzeiten	work a2	A2 Work	Reverse
die Schichtarbeit	shift work	die Schichtarbeit, die Schichtarbeiten	work a2	A2 Work	Basic
die Nachtschicht	night shift	die Nachtschicht, die Nachtschichten	work a2	A2 Work	Reverse
die Teilzeit	part-time	die Teilzeit (no plural)	work a2	A2 Work	Basic
die Vollzeit	full-time	die Vollzeit (no plural)	work a2	A2 Work	Reverse
