#separator:tab
#html:false
#deck:B1 Emotions & Feelings
front	back	extra	tags	notetype
glücklich	happy	Adjektiv	emotions b1	B1 Emotions	Basic
traurig	sad	Adjektiv	emotions b1	B1 Emotions	Reverse
wütend	angry	Adjektiv	emotions b1	B1 Emotions	Basic
ängstlich	afraid/anxious	Adjektiv	emotions b1	B1 Emotions	Reverse
müde	tired	Adjektiv	emotions b1	B1 Emotions	Basic
hungrig	hungry	Adjektiv	emotions b1	B1 Emotions	Reverse
durstig	thirsty	Adjektiv	emotions b1	B1 Emotions	Basic
satt	full (after eating)	Adjektiv	emotions b1	B1 Emotions	Reverse
nervous	nervous	Adjektiv	emotions b1	B1 Emotions	Basic
aufgeregt	excited	Adjektiv	emotions b1	B1 Emotions	Reverse
entspannt	relaxed	Adjektiv	emotions b1	B1 Emotions	Basic
gestresst	stressed	Adjektiv	emotions b1	B1 Emotions	Reverse
frustriert	frustrated	Adjektiv	emotions b1	B1 Emotions	Basic
enttäuscht	disappointed	Adjektiv	emotions b1	B1 Emotions	Reverse
erstaunt	surprised	Adjektiv	emotions b1	B1 Emotions	Basic
neugierig	curious	Adjektiv	emotions b1	B1 Emotions	Reverse
optimistisch	optimistic	Adjektiv	emotions b1	B1 Emotions	Basic
pessimistisch	pessimistic	Adjektiv	emotions b1	B1 Emotions	Reverse
selbstbewusst	confident (self-assured)	Adjektiv	emotions b1	B1 Emotions	Reverse
unsicher	insecure	Adjektiv	emotions b1	B1 Emotions	Basic
schüchtern	shy	Adjektiv	emotions b1	B1 Emotions	Reverse
eifersüchtig	jealous	Adjektiv	emotions b1	B1 Emotions	Basic
stolz	proud	Adjektiv	emotions b1	B1 Emotions	Reverse
beschämt	embarrassed	Adjektiv	emotions b1	B1 Emotions	Basic
schuldig	guilty	Adjektiv	emotions b1	B1 Emotions	Reverse
einsam	lonely	Adjektiv	emotions b1	B1 Emotions	Basic
verliebt	in love	Adjektiv	emotions b1	B1 Emotions	Reverse
vermissen	to miss	vermissen	emotions b1	B1 Emotions	Basic
sehnen	sich nach	to long for	sehnen, sehnte, hat gesehnt	emotions b1	B1 Emotions	Reverse
Gefühl	feeling	Gefühl, Gefühle	emotions b1	B1 Emotions	Basic
Emotion	emotion	Emotion, Emotionen	emotions b1	B1 Emotions	Reverse
Stimmung	mood	Stimmung, Stimmungen	emotions b1	B1 Emotions	Basic
die Freude	joy	Freude (no plural)	emotions b1	B1 Emotions	Reverse
