#separator:tab
#html:false
#deck:B1 German Phrasal Verbs
front	back	extra	tags	notetype
abfahren	to depart/to leave	ab- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
abkommen	to deviate/to come off	ab- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
abnehmen	to lose weight/to take off	ab- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
absagen	to cancel	ab- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
abschließen	to lock/to conclude	ab- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
abspielen	to play (media)	ab- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
abwaschen	to wash dishes	ab- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
abziehen	to subtract/to pull off	ab- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
ankommen	to arrive	an- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
anfangen	to begin	an- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
anklicken	to click	an- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
anrufen	to call (phone)	an- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
anschauen	to look at	an- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
ansehen	to look at/to consider	an- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
anstelle	to replace/instead of	an- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
anziehen	to put on/to pull	an- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
arbeiten	to work	arbeiten (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
aufbauen	to build up/to construct	auf- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
aufhören	to stop/to quit	auf- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
aufklären	to clarify/to explain	auf- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
aufmachen	to open	auf- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
aufnehmen	to record/to take up	auf- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
aufpassen	to pay attention	auf- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
aufstehen	to stand up/to get up	auf- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
auftreten	to occur/to perform	auf- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
ausfallen	to fall out/to cancel	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
ausfüllen	to fill out	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
ausgeben	to spend/to output	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
ausgehen	to go out	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
aushalten	to endure/to hold out	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
auskommen	to get along/to come out	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
ausmachen	to turn off/to matter	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
auspacken	to unpack	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
ausprobieren	to try out	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
aussehen	to look (appearance)	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
ausstellen	to exhibit/to turn off	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
austragen	to deliver/to carry out	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
auswählen	to select	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
ausziehen	to take off (clothes)/to move out	aus- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
einbauen	to install/ein- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
einladen	to invite/ein- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
einsteigen	to board/ein- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
einstellen	to adjust/to hire/ein- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
einteilen	to divide/ein- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
einziehen	to move in/ein- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
empfangen	to receive/emp- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
empfehlen	to recommend/emp- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
entdecken	to discover/ent- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
entfernen	to remove/ent- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
entkommen	to escape/ent- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
entscheiden	to decide/ent- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
entschuldigen	to excuse/ent- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
entsprechen	to correspond/ent- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
entstehen	to develop/arise/ent- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
erfahren	to experience/er- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
erfinden	to invent/er- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
erhalten	to receive/to maintain/er- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
erkennen	to recognize/er- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
erklären	to explain/er- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
erlauben	to allow/er- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
erreichen	to reach/er- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
erschaffen	to create/er- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
erwarten	to expect/er- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
erzählen	to tell/narrate/er- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
mitkommen	to come along/mit- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
mitmachen	to participate/mit- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
mitnehmen	to take along/mit- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
mitten	amid/in the middle of/mit- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
nachdenken	to think about/nach- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
nachmachen	to imitate/nach- (trennbar)	verbs b1	B1 Phrasal Verbs	Reverse
nachschlagen	to look up/nach- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
nachsprechen	to repeat after/nach- (trennbar)	verbs b1	B1 Phrasal Verbs	Basic
verstehen	to understand/ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
versuchen	to try	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
verraten	to betray/to reveal	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
verlassen	to leave/to rely on	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
verlieren	to lose	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
versprechen	to promise	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
verbinden	to connect	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
verbessern	to improve	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Reverse
verbreiten	to spread	ver- (untrennbar)	verbs b1	B1 Phrasal Verbs	Basic
