#separator:tab
#html:false
#deck:B1 Technology & Internet
tech-computer	Der Computer	computer	Device for computing	b1 technology
tech-laptop	Der Laptop	laptop	Portabe computer	b1 technology
tech-tablet	Das Tablet	tablet	Touchscreen device	b1 technology
tech-smartphone	Das Smartphone	smartphone	Intelligent phone	b1 technology
tech-app	Die App	application	Mobile software	b1 technology
tech-software	Die Software	software	Computer programs	b1 technology
tech-hardware	Die Hardware	hardware	Physical components	b1 technology
tech-prozessor	Der Prozessor	processor	CPU	b1 technology
tech-speicher	Der Speicher	memory	Storage device	b1 technology
tech-festplatte	Die Festplatte	hard drive	Data storage	b1 technology
tech-ssd	Die SSD	solid state drive	Fast storage	b1 technology
tech-ram	Der RAM	random access memory	Volatile memory	b1 technology
tech-monitor	Der Monitor	monitor	Display screen	b1 technology
tech-tastatur	Die Tastatur	keyboard	Input device	b1 technology
tech-maus	Die Maus	mouse	Pointing device	b1 technology
tech-webcam	Die Webcam	webcam	Camera	b1 technology
tech-mikrofon	Das Mikrofon	microphone	Audio input	b1 technology
tech-lautsprecher	Der Lautsprecher	speaker	Audio output	b1 technology
tech-kopfhoerer	Die Kopfhörer	headphones	Audio device	b1 technology
tech-bluetooth	Das Bluetooth	bluetooth	Wireless connection	b1 technology
tech-wlan	Das WLAN	wireless network	Wi-Fi	b1 technology
tech-internet	Das Internet	internet	Global network	b1 technology
tech-netzwerk	Das Netzwerk	network	Connected computers	b1 technology
tech-server	Der Server	server	Network computer	b1 technology
tech-cloud	Die Cloud	cloud	Online storage	b1 technology
tech-upload	Das Upload	upload	Send data	b1 technology
tech-download	Das Download	download	Receive data	b1 technology
tech-streaming	Das Streaming	streaming	Real-time media	b1 technology
tech-daten	Die Daten	data	Information	b1 technology
tech-datei	Die Datei	file	Document	b1 technology
tech-ordner	Der Ordner	folder	Directory	b1 technology
tech-link	Der Link	link	Web address	b1 technology
tech-url	Die URL	uniform resource locator	Web address	b1 technology
tech-webseite	Die Webseite	webpage	Internet page	b1 technology
tech-website	Die Website	website	Web presence	b1 technology
tech-blog	Das Blog	blog	Online journal	b1 technology
tech-forum	Das Forum	forum	Discussion platform	b1 technology
tech-chat	Der Chat	chat	Text conversation	b1 technology
tech-videochat	Der Videochat	video chat	Visual conversation	b1 technology
tech-email	Die E-Mail	email	Electronic mail	b1 technology
