#separator:tab
#html:false
#deck:B2 Society & Social Issues
soc-justice	Die soziale Gerechtigkeit	social justice		b2 society
soc-equality	Die Gleichberechtigung	equality		b2 society
soc-diversity	Die Vielfalt	diversity		b2 society
soc-integration	Die Integration	integration		b2 society
soc-inclusion	Die Inklusion	inclusion		b2 society
soc-poverty	Die Armut	poverty		b2 society
soc-wealth	Der Reichtum	wealth		b2 society
soc-unemployment	Die Arbeitslosigkeit	unemployment		b2 society
soc-migration	Die Migration	migration		b2 society
soc-refugee	Der Flüchtling	refugee		b2 society
soc-asylum	Das Asyl	asylum		b2 society
soc-human-rights	Die Menschenrechte	human rights		b2 society
soc-democracy	Die Demokratie	democracy		b2 society
soc-solidarity	Die Solidarität	solidarity		b2 society
soc-community	Die Gemeinschaft	community		b2 society
soc-volunteering	Das Ehrenamt	volunteering		b2 society
soc-discrimination	Die Diskriminierung	discrimination		b2 society
soc-racism	Der Rassismus	racism		b2 society
soc-prejudice	Das Vorurteil	prejudice		b2 society
soc-tolerance	Die Toleranz	tolerance		b2 society
soc-civil-society	Die Zivilgesellschaft	civil society		b2 society
soc-welfare-state	Der Sozialstaat	welfare state		b2 society
soc-generation-gap	Der Generationenkonflikt	generation gap		b2 society
soc-demographic-change	Der demografische Wandel	demographic change		b2 society
soc-social-security	Die soziale Sicherung	social security		b2 society
soc-health-insurance	Die Krankenversicherung	health insurance		b2 society
soc-pension-fund	Die Rentenversicherung	pension fund		b2 society
soc-labor-market	Der Arbeitsmarkt	labor market		b2 society
soc-education-system	Das Bildungssystem	education system		b2 society
soc-opportunity	Die Chancengleichheit	equal opportunity		b2 society
