#deck:Business & Finance
bus-1	die Marktwirtschaft	market economy	An economic system where supply and demand regulate the market.	c1 business economy noun
bus-2	die Inflation	inflation	The general increase in prices and fall in the purchasing value of money.	c1 business economy noun
bus-3	das Bruttoinlandsprodukt (BIP)	Gross Domestic Product (GDP)	The total value of goods produced and services provided in a country during one year.	c1 business economy noun
bus-4	die Aktie	share/stock	A unit of ownership interest in a corporation.	c1 finance noun
bus-5	die Dividende	dividend	A sum of money paid regularly by a company to its shareholders.	c1 finance noun
bus-6	die Rendite	yield/return	The income returned on an investment.	c1 finance noun
bus-7	der Zinssatz	interest rate	The proportion of a loan that is charged as interest to the borrower.	c1 finance noun
bus-8	der Umsatz	revenue/turnover	The total amount of money brought in by a company's operations.	c1 business noun
bus-9	die Liquidität	liquidity	The availability of liquid assets to a market or company.	c1 finance noun
bus-10	der Konkurs	bankruptcy	A legal status of a person or entity that cannot repay debts to creditors.	c1 business noun
bus-11	die Fusion	merger	An agreement that unites two existing companies into one new company.	c1 business noun
bus-12	das Eigenkapital	equity/own capital	The value of the shares issued by a company.	c1 finance noun
bus-13	das Fremdkapital	debt capital/borrowed capital	Capital raised by borrowing.	c1 finance noun
bus-14	der Aktionär	shareholder	An owner of shares in a company.	c1 finance noun
bus-15	der Aufsichtsrat	supervisory board	A board of directors in a two-tier board system.	c1 business noun
bus-16	die Bilanz	balance sheet	A statement of the assets, liabilities, and capital of a business.	c1 finance noun
bus-17	das Monopol	monopoly	The exclusive possession or control of the supply of or trade in a commodity or service.	c1 economy noun
bus-18	subventionieren	to subsidize	Support financially.	c1 economy verb
bus-19	die Konjunktur	economic cycle/boom	The overall state of the economy.	c1 economy noun
bus-20	der Wettbewerb	competition	The rivalry among sellers trying to achieve such goals as increasing profits, market share, and sales volume.	c1 business noun
bus-21	das Wertpapier	security (financial)	A tradable financial asset.	c1 finance noun
bus-22	die Währung	currency	A system of money in general use in a particular country.	c1 finance noun
bus-23	investieren	to invest	Expend money with the expectation of achieving a profit or material result.	c1 finance verb
bus-24	der Gläubiger	creditor	A person or company to whom money is owed.	c1 finance noun
bus-25	der Schuldner	debtor	A person or institution that owes a sum of money.	c1 finance noun
bus-26	die Steuererklärung	tax return	A form on which a taxpayer makes an annual statement of income and personal circumstances, used by the tax authorities to assess liability for tax.	c1 finance noun
bus-27	der Zoll	customs/duty	The official department that administers and collects the duties levied by a government on imported goods.	c1 business noun
bus-28	die Niederlassung	branch/subsidiary	An office or branch of a company.	c1 business noun
bus-29	die Insolvenz	insolvency	The state of being insolvent; inability to pay one's debts.	c1 business noun
bus-30	der Exportüberschuss	export surplus	A situation in which the value of a country's exports is greater than that of its imports.	c1 economy noun
